time,temperature
2018-7-22 16:16:38,28
2018-7-22 16:17:38,28
2018-7-22 16:18:38,28
2018-7-22 16:19:38,28
2018-7-22 16:20:38,28
2018-7-22 16:21:38,28
2018-7-22 16:22:38,28
2018-7-22 16:23:38,28
2018-7-22 16:24:38,28
2018-7-22 16:25:38,28
2018-7-22 16:26:38,28
2018-7-22 16:27:38,28
2018-7-22 16:28:38,28
2018-7-22 16:29:38,28
2018-7-22 16:30:38,28
2018-7-22 16:31:38,28
2018-7-22 16:32:38,28
2018-7-22 16:33:38,28
2018-7-22 16:34:38,28
2018-7-22 16:35:38,28
2018-7-22 16:36:38,28
2018-7-22 16:37:38,28
2018-7-22 16:38:38,28
2018-7-22 16:39:38,28
2018-7-22 16:40:38,28
2018-7-22 16:41:38,28
2018-7-22 16:42:38,28
2018-7-22 16:43:38,28
2018-7-22 16:44:38,28
2018-7-22 16:45:39,28
2018-7-22 16:46:39,28
2018-7-22 16:47:39,28
2018-7-22 16:48:39,28
2018-7-22 16:49:39,28
2018-7-22 16:50:39,28
2018-7-22 16:51:39,28
2018-7-22 16:52:39,28
2018-7-22 16:53:39,28
2018-7-22 16:54:39,28
2018-7-22 16:55:39,28
2018-7-22 16:56:39,28
2018-7-22 16:57:39,28
2018-7-22 16:58:39,28
2018-7-22 16:59:39,28
2018-7-22 17:00:39,28
2018-7-22 17:01:39,28
2018-7-22 17:02:39,28
2018-7-22 17:03:39,28
2018-7-22 17:04:39,28
2018-7-22 17:05:39,28
2018-7-22 17:06:39,28
2018-7-22 17:07:39,28
2018-7-22 17:08:39,28
2018-7-22 17:09:39,28
2018-7-22 17:10:39,28
2018-7-22 17:11:39,28
2018-7-22 17:14:03,29
2018-7-22 17:15:03,30
2018-7-22 17:16:03,30
2018-7-22 17:17:03,30
2018-7-22 17:18:03,30
2018-7-22 17:19:03,30
2018-7-22 17:20:03,30
2018-7-22 17:21:03,30
2018-7-22 17:22:03,30
2018-7-22 17:23:03,30
2018-7-22 17:24:03,30
2018-7-22 17:25:03,30
2018-7-22 17:26:03,30
2018-7-22 17:27:03,30
2018-7-22 17:28:03,30
2018-7-22 17:29:03,30
2018-7-22 17:30:03,30
2018-7-22 17:31:03,30
2018-7-22 17:32:03,30
2018-7-22 17:33:03,30
2018-7-22 17:34:03,30
2018-7-22 17:35:03,30
2018-7-22 17:36:03,30
2018-7-22 17:37:03,30
2018-7-22 17:38:03,30
2018-7-22 17:39:03,30
2018-7-22 17:40:03,30
2018-7-22 17:41:03,30
2018-7-22 17:42:03,30
2018-7-22 17:43:03,30
2018-7-22 17:44:03,30
2018-7-22 17:45:03,30
2018-7-22 17:46:03,30
2018-7-22 17:47:03,30
2018-7-22 17:48:03,30
2018-7-22 17:49:03,30
2018-7-22 17:50:03,30
2018-7-22 17:51:03,30
2018-7-22 17:52:03,30
2018-7-22 17:53:03,30
2018-7-22 17:54:03,30
2018-7-22 17:55:03,30
2018-7-22 17:56:03,30
2018-7-22 17:57:03,30
2018-7-22 17:58:03,30
2018-7-22 17:59:03,30
2018-7-22 18:00:03,30
2018-7-22 18:01:03,30
2018-7-22 18:02:03,30
2018-7-22 18:03:03,30
2018-7-22 18:04:03,30
